Run Name,20% B R Group 6 26/2.1
Run Date,03:53:10 PM   02-26-14
Method Name,20%B R Group 6 26/2.1
Export Format Version, 1.00
Method ID, 1857
Points/Second, 5.00
Number of Records,   3828
Offset from Run Start Time,00:00:00
Run End Time,00:12:48
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,QuadTec 3,QuadTec 4,Conductivity,GP Pressure
     0.0,-0.001272,-0.000643,-0.020704,-0.000277,  23.887,   85
     0.2,-0.001274,-0.000645,-0.020693,-0.000290,  23.887,   86
     0.4,-0.001237,-0.000647,-0.020656,-0.000290,  23.890,   86
     0.6,-0.001236,-0.000642,-0.020593,-0.000303,  23.891,   86
     0.8,0.000000,-0.000647,-0.020593,-0.000303,  23.887,   86
     1.0,0.000000,-0.000643,-0.020619,-0.000303,  23.890,   85
     1.2,0.000000,0.000000,-0.020661,-0.000290,  23.892,   84
     1.4,0.000000,0.000000,-0.020635,-0.000277,  23.888,   84
     1.6,0.000000,0.000000,-0.020593,-0.000277,  23.889,   85
     1.8,0.000000,0.000000,-0.020525,-0.000290,  23.891,   86
     2.0,0.000000,0.000000,-0.020618,-0.000290,  23.889,   88
     2.2,0.000000,0.000000,-0.020805,-0.000290,  23.889,   86
     2.4,0.000000,0.000000,-0.021533,-0.000290,  23.887,   84
     2.6,0.000000,0.000000,-0.021533,-0.000267,  23.882,   85
     2.8,0.000000,0.000000,-0.021533,-0.000244,  23.886,   86
     3.0,0.000000,0.000000,-0.021533,-0.000234,  23.883,   86
     3.2,0.000000,0.000000,0.000000,-0.000280,  23.879,   85
     3.4,0.000000,0.000000,0.000000,0.000000,  23.880,   86
     3.6,0.000000,0.000000,0.000000,0.000000,  23.884,   86
     3.8,0.000000,0.000000,0.000000,0.000000,  23.881,   85
     4.0,0.000000,0.000000,0.000000,0.000000,  23.880,   84
     4.2,-0.000008,0.000000,0.000000,0.000000,  23.881,   85
     4.4,-0.000012,0.000000,0.000000,0.000000,  23.880,   86
     4.6,-0.000014,0.000000,0.000000,0.000000,  23.885,   85
     4.8,-0.000011,0.000000,0.000000,0.000000,  23.883,   85
     5.0,-0.000020,0.000000,0.000000,0.000000,  23.876,   85
     5.2,-0.000022,-0.000013,0.000000,0.000000,  23.880,   86
     5.4,-0.000019,-0.000017,0.000000,0.000000,  23.878,   85
     5.6,-0.000025,-0.000020,0.000000,0.000000,  23.878,   85
     5.8,-0.000021,-0.000022,0.000000,0.000000,  23.884,   85
     6.0,-0.000012,-0.000026,0.000000,0.000000,  23.883,   84
     6.2,-0.000016,-0.000023,0.000000,0.000000,  23.882,   85
     6.4,-0.000009,-0.000018,0.000000,0.000000,  23.880,   86
     6.6,-0.000009,-0.000022,0.000078,0.000000,  23.888,   85
     6.8,-0.000013,-0.000026,0.000108,0.000000,  23.889,   85
     7.0,-0.000007,-0.000026,0.000108,0.000000,  23.889,   85
     7.2,-0.000009,-0.000023,0.000075,0.000000,  23.882,   85
     7.4,-0.000013,-0.000026,0.000008,0.000000,  23.886,   85
     7.6,-0.000013,-0.000021,-0.000107,0.000000,  23.886,   86
     7.8,-0.000016,-0.000021,-0.000117,-0.000049,  23.890,   86
     8.0,-0.000020,-0.000021,-0.000123,-0.000072,  23.883,   86
     8.2,-0.000020,-0.000019,-0.000092,-0.000036,  23.889,   86
     8.4,-0.000016,-0.000020,-0.000114,-0.000036,  23.891,   86
     8.6,-0.000020,-0.000022,-0.000151,-0.000023,  23.889,   85
     8.8,-0.000020,-0.000023,-0.000208,-0.000059,  23.895,   85
     9.0,-0.000016,-0.000027,-0.000225,-0.000059,  23.890,   85
     9.2,-0.000020,-0.000025,-0.000225,-0.000046,  23.891,   84
     9.4,-0.000020,-0.000028,-0.000214,-0.000046,  23.889,   85
     9.6,-0.000013,-0.000023,-0.000241,-0.000059,  23.888,   85
     9.8,-0.000013,-0.000022,-0.000283,-0.000046,  23.892,   87
    10.0,-0.000020,-0.000020,-0.000357,-0.000046,  23.890,   89
    10.2,-0.000013,-0.000018,-0.000341,-0.000059,  23.891,   88
    10.4,-0.000013,-0.000016,-0.000304,-0.000046,  23.891,   86
